Quantity,Transaction,Store,Product
1,12359,2,Candy Bar
2,12362,9,Pain Reliever
2,12362,9,Pain Reliever
1,12365,5,Toothpaste
2,12371,2,Bow
1,12380,6,Greeting Cards
3,12383,1,Pain Reliever
3,12383,1,Pain Reliever
1,12386,7,Pain Reliever
2,12386,7,Pain Reliever
1,12392,7,Shampoo
1,12392,7,Magazine
1,12401,6,Candy Bar
1,12401,6,Candy Bar
1,12401,6,Pencils
1,12401,6,Magazine
1,12404,2,Candy Bar
2,12410,2,Pens
1,12413,10,Magazine
1,12470,4,Candy Bar
1,12473,7,Shampoo
1,12476,2,Shampoo
1,12482,2,Toothpaste
8,12563,1,Deodorant
2,12563,1,Deodorant
1,12563,1,Deodorant
8,12563,1,Deodorant
8,12563,1,Deodorant
1,12572,6,Candy Bar
1,12572,6,Candy Bar
1,12572,6,Greeting Cards
1,12572,6,Greeting Cards
1,12572,6,Greeting Cards
1,12572,6,Greeting Cards
1,12572,6,Photo Processing
1,12572,6,Magazine
1,12572,6,Magazine
1,12572,6,Magazine
1,12575,4,Magazine
1,12578,10,Greeting Cards
1,12587,3,Magazine
3,12587,3,Magazine
2,12620,3,Photo Processing
2,12620,3,Bow
2,12620,3,Bow
2,12620,3,Bow
1,12623,5,Candy Bar
2,12635,1,Bow
4,12638,8,Bow
1,12749,6,Soap
2,12752,6,Toothpaste
1,12758,10,Shampoo
2,12761,7,Pencils
1,12761,7,Toothpaste
1,12761,7,Toothpaste
1,12761,7,Toothpaste
1,12761,7,Toothpaste
1,12761,7,Toothpaste
1,12761,7,Toothpaste
1,12761,7,Toothpaste
4,12761,7,Magazine
1,12761,7,Perfume
4,12761,7,Perfume
4,12761,7,Toothbrush
3,12764,7,Perfume
1,12764,7,Shampoo
1,12764,7,Shampoo
1,12764,7,Shampoo
1,12764,7,Magazine
1,12767,3,Magazine
1,12767,3,Perfume
1,12773,3,Perfume
2,12776,4,Perfume
3,12776,4,Perfume
2,12782,1,Pens
6,12791,7,Greeting Cards
4,12791,7,Candy Bar
2,12797,3,Pens
2,12800,7,Greeting Cards
2,12800,7,Greeting Cards
2,12800,7,Greeting Cards
2,12800,7,Toothpaste
1,12821,5,Pencils
1,12821,5,Pencils
1,12821,5,Candy Bar
1,12821,5,Candy Bar
1,12824,1,Candy Bar
1,12824,1,Candy Bar
1,12824,1,Candy Bar
1,12824,1,Candy Bar
1,12824,1,Candy Bar
1,12824,1,Candy Bar
1,12824,1,Candy Bar
1,12824,1,Candy Bar
1,12824,1,Pencils
1,12824,1,Pencils
1,12824,1,Pencils
1,12830,3,Magazine
1,12830,3,Magazine
1,12830,3,Magazine
1,12830,3,Candy Bar
1,12830,3,Candy Bar
1,12830,3,Candy Bar
1,12830,3,Candy Bar
1,12830,3,Candy Bar
1,12830,3,Candy Bar
1,12830,3,Candy Bar
1,12830,3,Candy Bar
1,12830,3,Pencils
1,12830,3,Pencils
1,12830,3,Pencils
1,12830,3,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Pencils
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Candy Bar
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12833,10,Magazine
1,12836,3,Magazine
1,12836,3,Magazine
1,12836,3,Candy Bar
1,12836,3,Candy Bar
1,12836,3,Candy Bar
1,12836,3,Candy Bar
1,12836,3,Candy Bar
1,12836,3,Pencils
1,12836,3,Pencils
1,12839,2,Candy Bar
1,12845,9,Toothpaste
1,12848,5,Pencils
1,12866,2,Shampoo
1,12869,4,Magazine
1,12872,9,Magazine
1,12872,9,Candy Bar
1,12872,9,Candy Bar
1,12872,9,Pencils
2,12878,8,Magazine
1,12878,8,Candy Bar
1,12878,8,Candy Bar
1,12878,8,Candy Bar
1,12878,8,Greeting Cards
1,12881,10,Pencils
1,12881,10,Pencils
2,12881,10,Candy Bar
1,12884,7,Pencils
27,12884,7,Pencils
1,12896,5,Pencils
1,12899,3,Toothpaste
1,12902,2,Candy Bar
1,12905,1,Toothpaste
1,12905,1,Toothpaste
1,12908,4,Toothpaste
12,12908,4,Toothpaste
1,12908,4,Toothpaste
15,12908,4,Candy Bar
4,12908,4,Candy Bar
9,12908,4,Candy Bar
2,12908,4,Candy Bar
4,12908,4,Pencils
3,12911,7,Toothpaste
2,12914,10,Pens
1,12914,10,Pens
1,12914,10,Pens
1,12917,6,Candy Bar
1,12917,6,Greeting Cards
2,12923,4,Perfume
1,12929,8,Perfume
1,12938,1,Perfume
1,12941,4,Perfume
1,12944,1,Magazine
1,12944,1,Magazine
1,12944,1,Perfume
1,12944,1,Toothpaste
1,12944,1,Toothpaste
1,12944,1,Toothpaste
3,12944,1,Toothpaste
16,12947,10,Toothbrush
1,12956,9,Soap
1,12959,9,Magazine
1,12962,5,Candy Bar
1,12962,5,Greeting Cards
1,12968,3,Candy Bar
1,12974,8,Wrapping Paper
1,12977,4,Toothpaste
1,12980,8,Pens
1,12983,3,Candy Bar
1,12983,3,Magazine
1,12989,2,Magazine
1,12989,2,Toothpaste
1,12989,2,Toothpaste
1,12989,2,Toothpaste
1,12989,2,Toothpaste
1,12992,7,Perfume
1,12995,9,Candy Bar
1,12995,9,Toothpaste
2,12995,9,Toothpaste
1,13001,1,Magazine
1,13001,1,Pain Reliever
1,13007,1,Greeting Cards
1,13007,1,Greeting Cards
1,13007,1,Pencils
1,13007,1,Magazine
1,13007,1,Magazine
1,13007,1,Candy Bar
3,13010,9,Magazine
1,13016,10,Magazine
1,13016,10,Soap
1,13016,10,Soap
1,13016,10,Soap
5,13019,8,Soap
5,13019,8,Soap
2,13025,6,Wrapping Paper
2,13034,2,Candy Bar
2,13034,2,Candy Bar
2,13034,2,Candy Bar
1,13034,2,Candy Bar
1,13034,2,Candy Bar
1,13049,2,Photo Processing
